steps,date,interval
NA,10/1/12,0
NA,10/1/12,5
NA,10/1/12,10
NA,10/1/12,15
NA,10/1/12,20
NA,10/1/12,25
NA,10/1/12,30
NA,10/1/12,35
NA,10/1/12,40
NA,10/1/12,45
NA,10/1/12,50
NA,10/1/12,55
NA,10/1/12,100
NA,10/1/12,105
NA,10/1/12,110
NA,10/1/12,115
NA,10/1/12,120
NA,10/1/12,125
NA,10/1/12,130
NA,10/1/12,135
NA,10/1/12,140
NA,10/1/12,145
NA,10/1/12,150
NA,10/1/12,155
NA,10/1/12,200
NA,10/1/12,205
NA,10/1/12,210
NA,10/1/12,215
NA,10/1/12,220
NA,10/1/12,225
NA,10/1/12,230
NA,10/1/12,235
NA,10/1/12,240
NA,10/1/12,245
NA,10/1/12,250
NA,10/1/12,255
NA,10/1/12,300
NA,10/1/12,305
NA,10/1/12,310
NA,10/1/12,315
NA,10/1/12,320
NA,10/1/12,325
NA,10/1/12,330
NA,10/1/12,335
NA,10/1/12,340
NA,10/1/12,345
NA,10/1/12,350
NA,10/1/12,355
NA,10/1/12,400
NA,10/1/12,405
NA,10/1/12,410
NA,10/1/12,415
NA,10/1/12,420
NA,10/1/12,425
NA,10/1/12,430
NA,10/1/12,435
NA,10/1/12,440
NA,10/1/12,445
NA,10/1/12,450
NA,10/1/12,455
NA,10/1/12,500
NA,10/1/12,505
NA,10/1/12,510
NA,10/1/12,515
NA,10/1/12,520
NA,10/1/12,525
NA,10/1/12,530
NA,10/1/12,535
NA,10/1/12,540
NA,10/1/12,545
NA,10/1/12,550
NA,10/1/12,555
NA,10/1/12,600
NA,10/1/12,605
NA,10/1/12,610
NA,10/1/12,615
NA,10/1/12,620
NA,10/1/12,625
NA,10/1/12,630
NA,10/1/12,635
NA,10/1/12,640
NA,10/1/12,645
NA,10/1/12,650
NA,10/1/12,655
NA,10/1/12,700
NA,10/1/12,705
NA,10/1/12,710
NA,10/1/12,715
NA,10/1/12,720
NA,10/1/12,725
NA,10/1/12,730
NA,10/1/12,735
NA,10/1/12,740
NA,10/1/12,745
NA,10/1/12,750
NA,10/1/12,755
NA,10/1/12,800
NA,10/1/12,805
NA,10/1/12,810
NA,10/1/12,815
NA,10/1/12,820
NA,10/1/12,825
NA,10/1/12,830
NA,10/1/12,835
NA,10/1/12,840
NA,10/1/12,845
NA,10/1/12,850
NA,10/1/12,855
NA,10/1/12,900
NA,10/1/12,905
NA,10/1/12,910
NA,10/1/12,915
NA,10/1/12,920
NA,10/1/12,925
NA,10/1/12,930
NA,10/1/12,935
NA,10/1/12,940
NA,10/1/12,945
NA,10/1/12,950
NA,10/1/12,955
NA,10/1/12,1000
NA,10/1/12,1005
NA,10/1/12,1010
NA,10/1/12,1015
NA,10/1/12,1020
NA,10/1/12,1025
NA,10/1/12,1030
NA,10/1/12,1035
NA,10/1/12,1040
NA,10/1/12,1045
NA,10/1/12,1050
NA,10/1/12,1055
NA,10/1/12,1100
NA,10/1/12,1105
NA,10/1/12,1110
NA,10/1/12,1115
NA,10/1/12,1120
NA,10/1/12,1125
NA,10/1/12,1130
NA,10/1/12,1135
NA,10/1/12,1140
NA,10/1/12,1145
NA,10/1/12,1150
NA,10/1/12,1155
NA,10/1/12,1200
NA,10/1/12,1205
NA,10/1/12,1210
NA,10/1/12,1215
NA,10/1/12,1220
NA,10/1/12,1225
NA,10/1/12,1230
NA,10/1/12,1235
NA,10/1/12,1240
NA,10/1/12,1245
NA,10/1/12,1250
NA,10/1/12,1255
NA,10/1/12,1300
NA,10/1/12,1305
NA,10/1/12,1310
NA,10/1/12,1315
NA,10/1/12,1320
NA,10/1/12,1325
NA,10/1/12,1330
NA,10/1/12,1335
NA,10/1/12,1340
NA,10/1/12,1345
NA,10/1/12,1350
NA,10/1/12,1355
NA,10/1/12,1400
NA,10/1/12,1405
NA,10/1/12,1410
NA,10/1/12,1415
NA,10/1/12,1420
NA,10/1/12,1425
NA,10/1/12,1430
NA,10/1/12,1435
NA,10/1/12,1440
NA,10/1/12,1445
NA,10/1/12,1450
NA,10/1/12,1455
NA,10/1/12,1500
NA,10/1/12,1505
NA,10/1/12,1510
NA,10/1/12,1515
NA,10/1/12,1520
NA,10/1/12,1525
NA,10/1/12,1530
NA,10/1/12,1535
NA,10/1/12,1540
NA,10/1/12,1545
NA,10/1/12,1550
NA,10/1/12,1555
NA,10/1/12,1600
NA,10/1/12,1605
NA,10/1/12,1610
NA,10/1/12,1615
NA,10/1/12,1620
NA,10/1/12,1625
NA,10/1/12,1630
NA,10/1/12,1635
NA,10/1/12,1640
NA,10/1/12,1645
NA,10/1/12,1650
NA,10/1/12,1655
NA,10/1/12,1700
NA,10/1/12,1705
NA,10/1/12,1710
NA,10/1/12,1715
NA,10/1/12,1720
NA,10/1/12,1725
NA,10/1/12,1730
NA,10/1/12,1735
NA,10/1/12,1740
NA,10/1/12,1745
NA,10/1/12,1750
NA,10/1/12,1755
NA,10/1/12,1800
NA,10/1/12,1805
NA,10/1/12,1810
NA,10/1/12,1815
NA,10/1/12,1820
NA,10/1/12,1825
NA,10/1/12,1830
NA,10/1/12,1835
NA,10/1/12,1840
NA,10/1/12,1845
NA,10/1/12,1850
NA,10/1/12,1855
NA,10/1/12,1900
NA,10/1/12,1905
NA,10/1/12,1910
NA,10/1/12,1915
NA,10/1/12,1920
NA,10/1/12,1925
NA,10/1/12,1930
NA,10/1/12,1935
NA,10/1/12,1940
NA,10/1/12,1945
NA,10/1/12,1950
NA,10/1/12,1955
NA,10/1/12,2000
NA,10/1/12,2005
NA,10/1/12,2010
NA,10/1/12,2015
NA,10/1/12,2020
NA,10/1/12,2025
NA,10/1/12,2030
NA,10/1/12,2035
NA,10/1/12,2040
NA,10/1/12,2045
NA,10/1/12,2050
NA,10/1/12,2055
NA,10/1/12,2100
NA,10/1/12,2105
NA,10/1/12,2110
NA,10/1/12,2115
NA,10/1/12,2120
NA,10/1/12,2125
NA,10/1/12,2130
NA,10/1/12,2135
NA,10/1/12,2140
NA,10/1/12,2145
NA,10/1/12,2150
NA,10/1/12,2155
NA,10/1/12,2200
NA,10/1/12,2205
NA,10/1/12,2210
NA,10/1/12,2215
NA,10/1/12,2220
